C_CNT,C1_A_CNT,C1_B_CNT,C1_C_CNT,C1_D_CNT,C1_E_CNT,C1_F_CNT,C1_G_CNT,C1_H_CNT,C1_I_CNT,C1_J_CNT,C1_K_CNT,C1_L_CNT,C1_M_CNT,C1_N_CNT,C1_O_CNT,C1_P_CNT,C1_Q_CNT,C1_R_CNT,C1_S_CNT,INFO_TIME,DISTRICT
28835,38,10,2541,6,121,3312,13435,2056,1937,509,630,733,1128,546,0,42,13,406,1372,104Y12M,BanQiao
25630,25,3,4587,7,93,2025,13037,361,1533,344,433,549,785,411,0,23,5,381,1028,104Y12M,SanChong
23462,42,6,3504,3,69,2486,11375,465,1451,467,468,430,944,462,0,19,3,335,933,104Y12M,ZhongHe
10063,23,1,449,2,28,949,5194,144,869,218,286,311,547,226,0,18,1,199,598,104Y12M,YongHe
23773,13,6,5849,6,103,2208,10101,426,1526,227,387,599,593,416,0,32,7,342,932,104Y12M,XinZhuang
14319,35,6,1168,3,39,1458,6926,263,1273,408,374,389,674,289,0,28,6,300,680,104Y12M,XinDian
11582,8,6,4194,5,62,858,4349,399,481,84,126,196,217,138,0,4,1,138,316,104Y12M,ShuLin
4535,7,8,893,2,22,504,2352,104,170,34,44,69,72,64,0,2,1,47,140,104Y12M,YingGe
4602,19,6,432,2,25,479,2388,158,407,41,60,98,100,89,1,6,2,69,220,104Y12M,SanXia
8033,263,1,607,4,20,760,3548,208,1038,123,105,242,306,183,0,15,3,186,421,104Y12M,TamSui
11842,19,6,1524,6,41,1325,5715,332,799,256,220,258,478,212,0,14,7,169,461,104Y12M,XiZhi
1927,8,6,117,3,5,286,973,59,272,7,13,11,23,37,0,0,2,31,74,104Y12M,RuiFang
11399,14,4,1912,4,48,1479,5062,704,626,118,167,170,297,208,0,9,1,174,402,104Y12M,TuCheng
9699,5,4,1661,1,49,1094,4597,148,669,93,150,260,223,161,0,8,1,152,423,104Y12M,LuZhou
5679,11,5,1871,2,33,476,2214,110,182,42,126,211,107,65,0,1,2,57,164,104Y12M,WuGu
4040,6,3,785,0,28,419,1902,95,265,25,49,65,99,64,0,3,2,80,150,104Y12M,TaiShan
4714,11,6,484,13,25,450,2265,118,377,56,124,261,180,82,0,3,2,78,179,104Y12M,LinKou
1318,5,0,128,2,4,153,643,38,134,31,19,20,48,20,0,0,1,28,44,104Y12M,ShenKeng
169,1,0,24,0,1,16,84,0,32,2,3,0,2,1,0,0,0,2,1,104Y12M,ShiDing
206,0,0,16,0,0,5,131,3,25,0,2,2,1,12,0,0,0,3,6,104Y12M,PingLin
1014,6,1,105,0,4,187,402,31,137,4,7,14,25,14,0,0,0,20,57,104Y12M,SanZhi
236,8,0,9,1,3,45,82,12,47,0,2,6,4,4,0,0,0,5,8,104Y12M,ShiMen
1844,5,3,319,0,20,233,782,77,126,14,22,52,42,46,1,1,0,35,66,104Y12M,BaLi
202,1,1,5,0,2,16,111,4,46,1,2,1,2,0,0,0,0,6,4,104Y12M,PingXi
241,0,0,31,0,1,27,127,2,34,0,1,1,2,5,0,0,0,4,6,104Y12M,ShuangXi
352,2,0,12,1,2,57,141,18,60,4,4,1,3,28,0,0,0,7,12,104Y12M,GongLiao
966,69,1,48,0,5,196,378,24,134,2,5,8,7,12,0,1,0,19,57,104Y12M,JinShan
769,101,2,27,1,1,103,292,28,130,4,6,2,13,19,0,0,0,17,23,104Y12M,WanLi
210,1,0,3,1,0,9,80,4,87,0,2,0,0,0,0,0,1,8,14,104Y12M,WuLai
