RLH_CNT,RLH_H_RAC,RLP_CNT,RLP_P_RAC,INFO_TIME,DISTRICT
3249,15.96,7944,14.26,102Y12M,BanQiao
2920,20.04,7494,19.22,102Y12M,SanChong
2278,14.15,5521,13.28,102Y12M,ZhongHe
1156,12.76,2733,11.93,102Y12M,YongHe
2401,16.6,6753,16.48,102Y12M,XinZhuang
1860,15.36,3880,12.98,102Y12M,XinDian
1043,16.22,2994,16.32,102Y12M,ShuLin
736,25.48,2096,23.65,102Y12M,YingGe
810,20.53,2276,20.69,102Y12M,SanXia
599,9.15,1329,8.56,102Y12M,TamSui
969,11.64,2525,13.0,102Y12M,XiZhi
634,39.56,1307,31.5,102Y12M,RuiFang
1576,18.54,4314,18.03,102Y12M,TuCheng
1271,18.66,3595,18.03,102Y12M,LuZhou
423,14.72,1168,14.29,102Y12M,WuGu
216,7.92,616,7.9,102Y12M,TaiShan
321,8.89,906,9.63,102Y12M,LinKou
119,12.84,323,13.67,102Y12M,ShenKeng
56,16.65,120,15.29,102Y12M,ShiDing
32,12.91,69,10.68,102Y12M,PingLin
144,15.66,375,15.98,102Y12M,SanZhi
63,14.77,151,11.8,102Y12M,ShiMen
231,17.38,578,15.97,102Y12M,BaLi
116,48.74,268,53.58,102Y12M,PingXi
131,33.94,280,29.75,102Y12M,ShuangXi
157,35.23,366,27.51,102Y12M,GongLiao
146,21.06,313,13.98,102Y12M,JinShan
446,60.95,692,30.6,102Y12M,WanLi
112,62.85,363,60.14,102Y12M,WuLai
