H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME,DISTRICT
14309,38167,19014,19153,105Y12M,BanQiao
9431,23369,11999,11370,105Y12M,SanChong
150133,388581,191481,197100,105Y12M,ZhongHe
41992,114180,57307,56873,105Y12M,YongHe
86503,238500,117779,120721,105Y12M,XinZhuang
164248,414266,201832,212434,105Y12M,XinDian
30747,84134,42449,41685,105Y12M,ShuLin
2328,4778,2638,2140,105Y12M,YingGe
90779,223999,106465,117534,105Y12M,SanXia
4305,12496,6469,6027,105Y12M,TamSui
3364,7736,4253,3483,105Y12M,XiZhi
85998,197749,96598,101151,105Y12M,RuiFang
2520,6538,3633,2905,105Y12M,TuCheng
40537,103219,50335,52884,105Y12M,LuZhou
206794,552285,269874,282411,105Y12M,WuGu
7078,22207,10969,11238,105Y12M,TaiShan
28230,78817,39178,39639,105Y12M,LinKou
1857,6212,3070,3142,105Y12M,ShenKeng
4412,12706,6491,6215,105Y12M,ShiDing
72432,165765,79687,86078,105Y12M,PingLin
9548,23683,11850,11833,105Y12M,SanZhi
125213,301168,145218,155950,105Y12M,ShiMen
150767,414156,202461,211695,105Y12M,BaLi
16168,40600,20518,20082,105Y12M,PingXi
7465,22490,11309,11181,105Y12M,ShuangXi
66035,184400,92064,92336,105Y12M,GongLiao
3819,9074,4901,4173,105Y12M,JinShan
70235,200702,98768,101934,105Y12M,WanLi
29565,87231,43731,43500,105Y12M,WuLai
