M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME,DISTRICT
99.27,2.67,966.42,29.48,15.84,13.64,86.08,105Y12M,BanQiao
105.53,2.48,354.12,34.41,13.78,20.62,149.67,105Y12M,SanChong
97.15,2.59,23814.49,31.83,15.86,15.97,100.65,105Y12M,ZhongHe
100.76,2.72,596.39,34.38,20.56,13.82,67.24,105Y12M,YongHe
97.56,2.76,8068.94,27.24,15.96,11.28,70.69,105Y12M,XinZhuang
95.01,2.52,20565.23,32.5,14.88,17.62,118.36,105Y12M,XinDian
101.83,2.74,2413.26,29.58,16.98,12.6,74.21,105Y12M,ShuLin
123.27,2.05,66.98,52.46,9.89,42.57,430.32,105Y12M,YingGe
90.58,2.47,39203.16,38.62,17.27,21.34,123.56,105Y12M,SanXia
107.33,2.9,243.76,35.89,15.65,20.24,129.33,105Y12M,TamSui
122.11,2.3,53.59,40.83,13.09,27.74,211.96,105Y12M,XiZhi
95.5,2.3,2775.99,28.31,13.77,14.54,105.57,105Y12M,RuiFang
125.06,2.59,38.27,45.29,11.96,33.33,278.81,105Y12M,TuCheng
95.18,2.55,1906.1,36.93,24.41,12.53,51.32,105Y12M,LuZhou
95.56,2.67,23869.9,34.48,18.27,16.21,88.68,105Y12M,WuGu
97.61,3.14,451.24,34.01,14.97,19.04,127.17,105Y12M,TaiShan
98.84,2.79,4113.56,33.05,20.56,12.49,60.77,105Y12M,LinKou
97.71,3.35,19.34,36.95,20.72,16.23,78.3,105Y12M,ShenKeng
104.44,2.88,127.09,39.61,11.01,28.6,259.78,105Y12M,ShiDing
92.58,2.29,2346.07,32.36,16.08,16.29,101.32,105Y12M,PingLin
100.14,2.48,1150.85,28.38,13.27,15.12,113.98,105Y12M,SanZhi
93.12,2.41,2505.03,33.45,13.54,19.9,146.98,105Y12M,ShiMen
95.64,2.75,20982.35,30.98,18.84,12.14,64.45,105Y12M,BaLi
102.17,2.51,573.98,35.58,13.36,22.22,166.38,105Y12M,PingXi
101.14,3.01,354.86,37.02,15.01,22.01,146.69,105Y12M,ShuangXi
99.71,2.79,5566.15,31.39,18.96,12.43,65.58,105Y12M,GongLiao
117.45,2.38,62.05,48.17,12.26,35.91,292.81,105Y12M,JinShan
96.89,2.86,26993.85,28.52,17.67,10.84,61.36,105Y12M,WanLi
100.53,2.95,4129.32,31.88,18.66,13.22,70.83,105Y12M,WuLai
